k,sigma,amp,P_switch
1.0333333333333334,-0.5,1.5,0.64
1.0333333333333334,-0.5,1.75,0.86
1.0333333333333334,-0.5,2.0,0.96
1.188888888888889,-2.0,0.0,0.38
1.188888888888889,-2.0,0.25,0.28
1.188888888888889,-2.0,0.5,0.4
1.188888888888889,-2.0,0.75,0.36
1.188888888888889,-2.0,1.0,0.32
1.188888888888889,-2.0,1.25,0.46
1.188888888888889,-2.0,1.5,0.36
1.188888888888889,-2.0,1.75,0.26
1.188888888888889,-2.0,2.0,0.32
1.188888888888889,-1.8125,0.0,0.36
1.188888888888889,-1.8125,0.5,0.44
1.188888888888889,-1.8125,0.25,0.4
1.188888888888889,-1.8125,0.75,0.34
1.188888888888889,-1.8125,1.0,0.4
1.188888888888889,-1.8125,1.25,0.34
1.188888888888889,-1.8125,1.5,0.34
1.188888888888889,-1.8125,1.75,0.3
1.188888888888889,-1.625,0.0,0.4
1.188888888888889,-1.8125,2.0,0.48
1.188888888888889,-1.625,0.25,0.38
1.188888888888889,-1.625,0.5,0.28
1.188888888888889,-1.625,0.75,0.4
1.188888888888889,-1.625,1.0,0.38
1.188888888888889,-1.625,1.25,0.36
1.188888888888889,-1.625,1.5,0.38
1.188888888888889,-1.625,1.75,0.3
1.188888888888889,-1.625,2.0,0.4
1.188888888888889,-1.4375,0.0,0.42
1.188888888888889,-1.4375,0.25,0.36
1.188888888888889,-1.4375,0.5,0.44
1.188888888888889,-1.4375,0.75,0.52
1.188888888888889,-1.4375,1.0,0.34
1.188888888888889,-1.4375,1.25,0.42
1.188888888888889,-1.4375,1.5,0.4
1.188888888888889,-1.4375,1.75,0.5
1.188888888888889,-1.4375,2.0,0.46
1.188888888888889,-1.25,0.0,0.36
1.188888888888889,-1.25,0.25,0.32
1.188888888888889,-1.25,0.5,0.32
1.188888888888889,-1.25,0.75,0.4
1.188888888888889,-1.25,1.0,0.42
1.188888888888889,-1.25,1.25,0.52
1.188888888888889,-1.25,1.5,0.58
1.188888888888889,-1.25,1.75,0.44
1.188888888888889,-1.25,2.0,0.42
1.188888888888889,-1.0625,0.0,0.44
1.188888888888889,-1.0625,0.25,0.18
1.188888888888889,-1.0625,0.75,0.3
1.188888888888889,-1.0625,0.5,0.2
1.188888888888889,-1.0625,1.0,0.44
1.188888888888889,-1.0625,1.25,0.56
1.188888888888889,-1.0625,1.5,0.54
1.188888888888889,-1.0625,1.75,0.68
1.188888888888889,-1.0625,2.0,0.72
1.188888888888889,-0.875,0.0,0.52
1.188888888888889,-0.875,0.25,0.08
1.188888888888889,-0.875,0.5,0.02
1.188888888888889,-0.875,0.75,0.08
1.188888888888889,-0.875,1.0,0.22
1.188888888888889,-0.875,1.25,0.46
1.188888888888889,-0.875,1.5,0.6
1.188888888888889,-0.875,1.75,0.74
1.188888888888889,-0.875,2.0,0.94
1.188888888888889,-0.6875,0.0,0.48
1.188888888888889,-0.6875,0.25,0.0
1.188888888888889,-0.6875,0.5,0.0
1.188888888888889,-0.6875,0.75,0.1
1.188888888888889,-0.6875,1.0,0.16
1.188888888888889,-0.6875,1.25,0.24
1.188888888888889,-0.6875,1.5,0.42
1.188888888888889,-0.6875,1.75,0.84
1.188888888888889,-0.6875,2.0,0.9
1.188888888888889,-0.5,0.0,0.44
1.188888888888889,-0.5,0.25,0.0
